gene,connectivity,dynamicColors,moduleColors,moduleLabels
Synj1,33.435293057262676,brown,brown,1
Slc39a9,33.32520280530751,brown,brown,1
Ntrk3,33.24885351640165,brown,brown,1
Gan,33.174999821034724,brown,brown,1
Prrc2c,32.861958166519216,brown,brown,1
Prdm2,32.420396070073224,brown,brown,1
Nrxn3,32.285997961033594,brown,brown,1
Zfp652,32.066797545857156,brown,brown,1
Klhdc10,31.87459592677722,brown,brown,1
Acvr2b,31.86148896302314,brown,brown,1
Dnmt3a,31.853493713588446,brown,brown,1
Cdyl2,31.751314975979408,brown,brown,1
Csrnp3,31.7026478480578,brown,brown,1
Ptprg,31.58744983065598,brown,brown,1
Syn3,31.561704679661073,brown,brown,1
Fnbp1l,31.47618839340297,brown,brown,1
RGD1563986,31.243754970153052,brown,brown,1
Asb1,31.024344945595963,brown,brown,1
Rasal2,30.8881922429502,brown,brown,1
Megf9,30.256977280263865,brown,brown,1
Pcdh7,30.172339888470315,brown,brown,1
Hecw2,29.95995434290414,brown,brown,1
Kcnh5,29.74781467244824,brown,brown,1
Pip4k2b,29.716349004613527,brown,brown,1
Abi2,29.484514585154013,brown,brown,1
Myo9a,29.215853007144673,brown,brown,1
Abl2,29.011511858165377,brown,brown,1
Kbtbd11,29.007722023111977,brown,brown,1
Aff1,28.85248054139593,brown,brown,1
Rai1,28.835337302970593,brown,brown,1
Ddi2,28.749406237819258,brown,brown,1
Ep400,28.58654961142653,brown,brown,1
Slc35e2b,28.564257486035377,brown,brown,1
Cpeb4,28.455833410062684,brown,brown,1
Nrp1,28.26959130562749,brown,brown,1
Lsm11,28.078773150958213,brown,brown,1
Dcp1a,28.057544648923603,brown,brown,1
Rnf144a,28.011184483040342,brown,brown,1
Sec16a,27.95448184603181,brown,brown,1
Dcbld2,27.94529369535129,brown,brown,1
Robo1,27.93829427007604,brown,brown,1
Enah,27.874323836275877,brown,brown,1
Helz,27.628410309319996,brown,brown,1
Clip1,27.59997408443751,brown,brown,1
Zbtb40,27.429204806063936,brown,brown,1
Rhbdl3,27.416446665457,brown,brown,1
Klhl42,27.409183536274114,brown,brown,1
Ncor1,27.28003757444253,brown,brown,1
Slc6a6,27.241624623287702,brown,brown,1
Birc6,27.240499106759263,brown,brown,1
Baz2b,27.160762098209027,brown,brown,1
Zbtb39,26.98828396418456,brown,brown,1
Rfx3,26.88366025377366,brown,brown,1
Srrm2,26.222806643362517,brown,brown,1
Rgs17,26.2106572293407,brown,brown,1
Unc5d,26.148749535568747,brown,brown,1
Ago2,25.979794203679177,brown,brown,1
Lnc001,25.9268601947301,brown,brown,1
Slc8a1,25.889067788729356,brown,brown,1
Pcdh17,25.703586758580922,brown,brown,1
Spata13,25.54256547317268,brown,brown,1
Frmd4a,25.434535901469253,brown,brown,1
Lrp1b,25.36719375277745,brown,brown,1
Hivep2,25.365554201683157,brown,brown,1
Wipi2,25.262009678270676,brown,brown,1
Ppp1r12b,25.2080368360566,brown,brown,1
Clcn5,25.053491437028356,brown,brown,1
Fbxo42,24.752361888177166,brown,brown,1
Peg3,24.688670454810435,brown,brown,1
Zfhx4,24.180380333408724,brown,brown,1
Pde10a,24.170537105441998,brown,brown,1
Phka2,24.14759320695479,brown,brown,1
Med1,24.02772925057788,brown,brown,1
Neto1,23.9494172112126,brown,brown,1
Lrp6,23.837525671914335,brown,brown,1
Tnrc6b,23.711783330322568,brown,brown,1
Fras1,23.70844706389542,brown,brown,1
Alg10,23.64774050721564,brown,brown,1
Fat4,23.50184151192384,brown,brown,1
Dcp2,23.459965205296538,brown,brown,1
Gabrb2,23.41593369243782,brown,brown,1
Trip11,23.401327094922927,brown,brown,1
Notch1,23.14256033957927,brown,brown,1
Rc3h2,23.111104098530454,brown,brown,1
Gtf3c1,22.939285854881064,brown,brown,1
Slc30a10,22.856158317148495,brown,brown,1
Prkca,22.74557036583124,brown,brown,1
Zkscan1,22.67304649620607,brown,brown,1
Mpdz,22.592392570311098,brown,brown,1
Ptprj,22.48862493287857,brown,brown,1
Dcc,22.476907707721594,brown,brown,1
Amer1,22.449242843870618,brown,brown,1
Rnf217,22.388977020051307,brown,brown,1
Wnk3,22.360316814380386,brown,brown,1
Abcc10,22.292625828858245,brown,brown,1
Celf2,22.26020907599311,brown,brown,1
Zbtb41,22.165274514143885,brown,brown,1
Zfp609,22.139853747443482,brown,brown,1
Kcng3,22.131346884445225,brown,brown,1
Usp34,21.99681538036297,brown,brown,1
Prkaa2,21.973085430165987,brown,brown,1
Ubr1,21.837520880912784,brown,brown,1
Pcdh15,21.773536341248946,brown,brown,1
Gria1,21.69345529567699,brown,brown,1
Creb1,21.677831792956752,brown,brown,1
Vti1a,21.572882090796746,brown,brown,1
Cpd,21.458518727683405,brown,brown,1
Tcf20,21.412848407383773,brown,brown,1
Plxdc2,21.20583330946956,brown,brown,1
Ppp1r12a,21.156790234929357,brown,brown,1
Flrt2,21.031630769459667,brown,brown,1
Cntnap5b,20.94456476231423,brown,brown,1
Sptlc2,20.589492238128223,brown,brown,1
Ppm1h,20.54908927781099,brown,brown,1
Fam199x,20.53947596046264,brown,brown,1
Pus10,20.521764197582293,brown,brown,1
Smad5,20.495926942084214,brown,brown,1
Tmem181,20.261905577753392,brown,brown,1
F8,20.046289328898087,brown,brown,1
Cacna2d1,20.03695188223854,brown,brown,1
Cacnb4,20.023347631720828,brown,brown,1
Samd5,20.01155390978089,brown,brown,1
Kirrel,19.970328822667533,brown,brown,1
Rad54l2,19.885947146620058,brown,brown,1
Ankrd17,19.697596584325094,brown,brown,1
Cadm1,19.67491641743078,brown,brown,1
Unc79,19.59098565701898,brown,brown,1
Kpna1,19.58789444458501,brown,brown,1
Chd8,19.563177283930195,brown,brown,1
H6pd,19.535099964896286,brown,brown,1
Trim44,19.523080985955655,brown,brown,1
Runx1t1,19.5000179226636,brown,brown,1
Lpin1,19.46179711002247,brown,brown,1
Fam126b,19.322652254352683,brown,brown,1
Plcg1,19.288792405857606,brown,brown,1
Rab27b,19.144665032284667,brown,brown,1
Hif1an,19.136663927337107,brown,brown,1
Glra3,19.110973666514752,brown,brown,1
Utrn,19.008108238907457,brown,brown,1
Atf6,18.96314573635131,brown,brown,1
Pak3,18.93138808049467,brown,brown,1
Itpkb,18.89705300449039,brown,brown,1
Zhx3,18.73906122643839,brown,brown,1
Ghrl,18.683161887175405,brown,brown,1
Kcnf1,18.6403309244775,brown,brown,1
Cacna1c,18.63140340916185,brown,brown,1
Adra1a,18.558689800179913,brown,brown,1
P2ry4,18.507400790041075,brown,brown,1
Foxn3,18.456342669828196,brown,brown,1
Strn,18.450879844016082,brown,brown,1
Mdm4,17.9126748366632,brown,brown,1
B3gnt6,17.786490159461753,brown,brown,1
Fam120a,17.6276597204726,brown,brown,1
Kdm2a,17.587407910168267,brown,brown,1
Tmem170b,17.55801039532254,brown,brown,1
Stard7,17.461807870349443,brown,brown,1
Gabrg3,17.456094556126747,brown,brown,1
Pag1,17.447096315863817,brown,brown,1
Unc13b,17.43114422922984,brown,brown,1
Tsc22d2,17.41558348730619,brown,brown,1
Gda,17.378393313611546,brown,brown,1
Hook3,17.244894477467703,brown,brown,1
Abl1,17.11556943466752,brown,brown,1
Scaf8,17.115026413078578,brown,brown,1
Slk,17.063158619350535,brown,brown,1
Ntn1,17.022976909730364,brown,brown,1
Adar,17.01923049446801,brown,brown,1
Klf12,16.962079701696403,brown,brown,1
Lancl3,16.901726121113633,brown,brown,1
Eno4,16.8654387380493,brown,brown,1
Scaf4,16.82942303656746,brown,brown,1
Ptprf,16.790259585286915,brown,brown,1
Nhlrc2,16.741538067248133,brown,brown,1
Snrnp70,16.681072684743903,brown,brown,1
Ypel2,16.630916748899992,brown,brown,1
Celf1,16.60592154478824,brown,brown,1
Nin,16.538478672249987,brown,brown,1
Gltscr1l,16.52709641669383,brown,brown,1
Dot1l,16.524944389113767,brown,brown,1
Atrn,16.320853512913605,brown,brown,1
Acox3,16.244923935052196,brown,brown,1
Cblb,16.226850562140473,brown,brown,1
Map3k2,16.14688119101847,brown,brown,1
Xkr7,15.994762751983165,brown,brown,1
Capns2,15.994547174546447,brown,brown,1
Ankle2,15.95632048563385,brown,brown,1
Dstyk,15.94261724525673,brown,brown,1
Lurap1,15.770368028682455,brown,brown,1
Raph1,15.7490369973588,brown,brown,1
Gon4l,15.733602841016458,brown,brown,1
Fat1,15.665604434995963,brown,brown,1
Zfyve26,15.657743879660288,brown,brown,1
Tmf1,15.613345620487987,brown,brown,1
Nkain3,15.451682883476893,brown,brown,1
Luc7l2,15.361696916721097,brown,brown,1
Prkab2,15.231244879925256,brown,brown,1
Prkch,15.151806180210723,brown,brown,1
Trank1,15.136108209889903,brown,brown,1
Atf7,15.041242343840496,brown,brown,1
Zfp597,15.009765712315424,brown,brown,1
Acvr1c,14.976962983622965,brown,brown,1
Nek2,14.914620610995915,brown,brown,1
Megf8,14.904581439519209,brown,brown,1
Rorb,14.853025082697968,brown,brown,1
Baz1b,14.832111175251013,brown,brown,1
Exoc4,14.82561760865211,brown,brown,1
Usp48,14.743867180336567,brown,brown,1
Samd15,14.601846996543404,brown,brown,1
RGD1562865,14.546616552343359,brown,brown,1
Setd7,14.499237983661404,brown,brown,1
Whsc1,14.376027785716406,brown,brown,1
Arl5b,14.318096224722954,brown,brown,1
Mprip,14.300382396408473,brown,brown,1
Kb15,14.24914199474723,brown,brown,1
Pdpr,14.025213784669157,brown,brown,1
